Genes	description
Gm15148	ribosomal protein L39 pseudogene
Zfp599	zinc finger protein 599
Evi2b	ecotropic viral integration site 2b
Prm1	protamine 1
Kdm6b	KDM1 lysine (K)-specific demethylase 6B
Gm5123	mortality factor 4 like 2 pseudogene
Cmtm8	CKLF-like MARVEL transmembrane domain containing 8
Il11ra2	interleukin 11 receptor subunit alpha 2
Tbc1d10c	TBC1 domain family, member 10c
Slitrk1	SLIT and NTRK-like family, member 1
Gm340	NA
2310044G17Rik	NA
Clca5	NA
Zbed6	zinc finger, BED type containing 6
Gm13661	NA
Gm23817	predicted gene, 23817
Lilra6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6
Gm7831	predicted gene 7831
Slc7a12	solute carrier family 7 (cationic amino acid transporter, y+ system), member 12
Pomp	proteasome maturation protein
Bdkrb2	bradykinin receptor, beta 2
Creb1	cAMP responsive element binding protein 1
Gm24303	NA
Nfkbib	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta
Snhg9	small nucleolar RNA host gene 9
Gm9341	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Zfp319	zinc finger protein 319
Gm24553	predicted gene, 24553
Gm25608	predicted gene, 25608
Wdr13	WD repeat domain 13
Gm12365	high mobility group box 2 pseudogene
Cyp2b23	cytochrome P450, family 2, subfamily b, polypeptide 23
5830444B04Rik	RIKEN cDNA 5830444B04 gene
Gm17086	NA
Mir669h	microRNA 669h
Vmn2r-ps47	vomeronasal 2, receptor, pseudogene 47
Gm11772	predicted gene 11772
Gm7224	F-box protein 34 pseudogene
Pdyn	prodynorphin
Ptchd3	patched domain containing 3
Slc10a5	solute carrier family 10 (sodium/bile acid cotransporter family), member 5
0610040J01Rik	RIKEN cDNA 0610040J01 gene
Gm16712	predicted gene, 16712
Chkb	choline kinase beta
Cypt14	NA
Msl2	MSL complex subunit 2
Magee1	MAGE family member E1
Gm11719	NA
Morn3	MORN repeat containing 3
Mir136	microRNA 136
Gm25827	predicted gene, 25827
Calcrl	calcitonin receptor-like
Snrpc	U1 small nuclear ribonucleoprotein C
Gm5101	NA
Gm13191	NA
Mpzl1	myelin protein zero-like 1
Catsperd	cation channel sperm associated auxiliary subunit delta
RP24-289J12.1	NA
Osgin1	oxidative stress induced growth inhibitor 1
Gm26544	predicted gene, 26544
Spata5l1	NA
E230013L22Rik	RIKEN cDNA E230013L22 gene
Hnmt	histamine N-methyltransferase
Rnf148	ring finger protein 148
4933408J17Rik	RIKEN cDNA 4933408J17 gene
Gm25358	NA
Gm26358	predicted gene, 26358
Gm454	predicted gene 454
Rad51b	RAD51 paralog B
Gm22306	predicted gene, 22306
Gm26815	NA
9530052E02Rik	RIKEN cDNA 9530052E02 gene
Ifnab	interferon alpha B
Gm3076	predicted gene 3076
Zc3h10	zinc finger CCCH type containing 10
Glo1	glyoxalase 1
Zfp868	zinc finger protein 868
1700003G13Rik	NA
Gm11799	predicted gene 11799
Eif4g2	eukaryotic translation initiation factor 4, gamma 2
Gm25022	NA
Dhrs4	dehydrogenase/reductase 4
Il1rap	interleukin 1 receptor accessory protein
Mir1224	microRNA 1224
Gm26894	NA
Gm13383	predicted gene 13383
Ptpn14	protein tyrosine phosphatase, non-receptor type 14
Gm21833	NA
Fkbp8	FK506 binding protein 8
Gm12413	phosphoglycerate mutase 1 pseudogene
Deb1	NA
Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase
Ptrf	NA
Gm23112	predicted gene, 23112
Slc1a7	solute carrier family 1 (glutamate transporter), member 7
Mrpl53	mitochondrial ribosomal protein L53
Syt11	synaptotagmin XI
Tspan15	tetraspanin 15
Dock4	dedicator of cytokinesis 4
Nedd1	neural precursor cell expressed, developmentally down-regulated gene 1
Gm17688	NA
Mir551b	microRNA 551b
Smok2b	sperm motility kinase 2B
Gm10760	predicted gene 10760
Defa-ps11	defensin, alpha, pseudogene 11
Gm2871	ribosomal protein L3 pseudogene
Scrt1	scratch family zinc finger 1
Tcstv1	NA
Grm3	glutamate receptor, metabotropic 3
Gm5617	predicted gene 5617
Hspb6	heat shock protein, alpha-crystallin-related, B6
Ccl2	C-C motif chemokine ligand 2
4933416E03Rik	RIKEN cDNA 4933416E03 gene
Prkrir	NA
mmu-mir-6927	NA
Amn1	antagonist of mitotic exit network 1
Gm11618	NA
Ptk7	PTK7 protein tyrosine kinase 7
Olfr530	NA
Vil1	villin 1
Tbccd1	TBCC domain containing 1
Baz2a	bromodomain adjacent to zinc finger domain, 2A
Gm23078	NA
St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
Gm9602	predicted gene 9602
Gm22032	NA
Gm15026	predicted gene 15026
Nlrp4f	NLR family, pyrin domain containing 4F
Gm11009	predicted gene 11009
Cst6	cystatin E/M
Gm11543	predicted gene 11543
Zfp958	zinc finger protein 958
Gm23865	NA
Zfy1	zinc finger protein 1, Y-linked
Olfr192	NA
Gm12018	predicted gene 12018
Lcmt1	leucine carboxyl methyltransferase 1
Vmn2r98	vomeronasal 2, receptor 98
Pqlc3	NA
Gm15589	predicted gene 15589
U7	NA
Phlpp2	PH domain and leucine rich repeat protein phosphatase 2
Abcc9	ATP-binding cassette, sub-family C member 9
Gm24299	predicted gene, 24299
Ubr5	ubiquitin protein ligase E3 component n-recognin 5
RP23-16D16.1	NA
Gm22379	predicted gene, 22379
Plaa	phospholipase A2, activating protein
mmu-mir-7036	NA
Trbv13-3	T cell receptor beta, variable 13-3
Sap30bp	SAP30 binding protein
A530099J19Rik	NA
Lonp1	lon peptidase 1, mitochondrial
4921507L20Rik	NA
Phactr2	phosphatase and actin regulator 2
Rpl29	ribosomal protein L29
Gm12060	NA
Gm10115	predicted gene 10115
Mir138-2	microRNA 138-2
Zfp182	zinc finger protein 182
Mir682	microRNA 682
Gm24421	NA
Gm26636	NA
Gm25390	predicted gene, 25390
Gm21844	NA
Klra7	killer cell lectin-like receptor, subfamily A, member 7
Zbed4	zinc finger, BED type containing 4
Mex3d	mex3 RNA binding family member D
Gm21744	predicted gene, 21744
Cpeb2	cytoplasmic polyadenylation element binding protein 2
1700010K10Rik	NA
Nfyb	nuclear transcription factor-Y beta
2610507I01Rik	RIKEN cDNA 2610507I01 gene
Gm24176	predicted gene, 24176
Sec24d	SEC24 homolog D, COPII coat complex component
Scnn1g	sodium channel, nonvoltage-gated 1 gamma
Ift46	intraflagellar transport 46
Snora81	small nucleolar RNA, H/ACA box 81
4631405K08Rik	NA
Gm16462	NA
Gsto1	glutathione S-transferase omega 1
AI314180	NA
FAM205A	NA
Lrrk2	leucine-rich repeat kinase 2
Ccdc71	coiled-coil domain containing 71
4921504E06Rik	RIKEN cDNA 4921504E06 gene
Bmp6	bone morphogenetic protein 6
Etnppl	ethanolamine phosphate phospholyase
Gm13121	high mobility group box 2 pseudogene
Cnot1	CCR4-NOT transcription complex, subunit 1
Sh3bp4	SH3-domain binding protein 4
Gm14259	NA
Pklr	pyruvate kinase liver and red blood cell
Tmprss11f	transmembrane protease, serine 11f
Lpcat2b	lysophosphatidylcholine acyltransferase 2B
Gm5580	NA
Hoxc4	homeobox C4
Gm26730	predicted gene, 26730
Gm9458	predicted gene 9458
Olfr395	NA
Gm22326	NA
Epha6	Eph receptor A6
DXBay18	NA
Gm10475	predicted gene 10475
Snph	syntaphilin
Gm5893	predicted gene 5893
Olfr1035-ps1	NA
Gm18006	predicted gene, 18006
Pitpnm3	PITPNM family member 3
Gm12779	NA
Hoxa7	homeobox A7
Mapk10	mitogen-activated protein kinase 10
1700049G17Rik	NA
Gm24777	NA
Gm13302	transmembrane protein C9orf144B homolog
Sec24a	SEC24 homolog A, COPII coat complex component
Gm10418	NA
Gm10032	predicted gene 10032
Eogt	EGF domain specific O-linked N-acetylglucosamine transferase
Msc	musculin
2510016G02Rik	NA
Mmp14	matrix metallopeptidase 14 (membrane-inserted)
Fam171b	family with sequence similarity 171, member B
Zfp935	zinc finger protein 935
Cth	cystathionine gamma lyase
Olfr1268-ps1	NA
Gm24257	predicted gene, 24257
Aspscr1	ASPSCR1 tether for SLC2A4, UBX domain containing
Olfr293	NA
Gm14909	NA
Vmn2r91	vomeronasal 2, receptor 91
Gm16214	predicted gene 16214
Alad	aminolevulinate, delta-, dehydratase
Gm23097	predicted gene, 23097
Gm4789	testis derived transcript pseudogene
Rcbtb1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1
Esrp1	epithelial splicing regulatory protein 1
5430421N21Rik	NA
Gm26764	NA
Gm13419	NA
Pisd	phosphatidylserine decarboxylase
H2-Q10	histocompatibility 2, Q region locus 10
Vmn2r-ps126	vomeronasal 2, receptor, pseudogene 126
Gm15030	predicted gene 15030
5430416O09Rik	NA
Slfn3	schlafen 3
Gm23976	NA
Gm24162	predicted gene, 24162
Gm25624	predicted gene, 25624
Vmn2r35	vomeronasal 2, receptor 35
Gm23612	NA
Gm11241	malate dehydrogenase 2, NAD (mitochondrial) pseudogene
4933411G06Rik	Sumo1 pseudogene
Abhd13	abhydrolase domain containing 13
Rell1	RELT-like 1
Olfr1013	NA
Gm12516	60S ribosomal protein L27 pseudogene
Vnn1	vanin 1
Trim54	tripartite motif-containing 54
n-R5s16	NA
1700049E17Rik1	RIKEN cDNA 1700049E17 gene, gene 1
Ankrd35	ankyrin repeat domain 35
Gm15967	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1 pseudogene
Rab13	RAB13, member RAS oncogene family
Slc35e4	solute carrier family 35, member E4
Fam174b	family with sequence similarity 174, member B
Rasl10b	RAS-like, family 10, member B
Iqcc	IQ motif containing C
Olfr1214	NA
Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1
Gm16277	predicted gene 16277
Gm24120	predicted gene, 24120
Rps15a	ribosomal protein S15A
Mir467a-5	microRNA 467a-5
Sh3gl1	SH3-domain GRB2-like 1
Gm18953	protein tyrosine phosphatase, receptor type, J pseudogene
AC125259.1	NA
Gm15542	DnaJ (Hsp40) homolog, subfamily A, member 1 pseudogene
Ssxb3	SSX member B3
Gm15252	predicted gene 15252
Gm22708	predicted gene, 22708
Vmn1r66	vomeronasal 1 receptor 66
Psg28	pregnancy-specific beta-1-glycoprotein 28
Gm3327	predicted gene 3327
Ggt6	gamma-glutamyltransferase 6
Mir23a	microRNA 23a
Tek	TEK receptor tyrosine kinase
Sntb2	syntrophin, basic 2
Traj4	T cell receptor alpha joining 4
Gm23245	predicted gene, 23245
Slc25a22	solute carrier family 25 (mitochondrial carrier, glutamate), member 22
Gm21658	predicted gene, 21658
Gm26530	NA
Gm12955	cyclin H pseudogene
Gm12905	NA
Gm22115	predicted gene, 22115
Pus7	pseudouridylate synthase 7
Rps6kl1	ribosomal protein S6 kinase-like 1
Pip5k1a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha
Nudcd2	NudC domain containing 2
1700017D01Rik	NA
Cpeb1	cytoplasmic polyadenylation element binding protein 1
Slc19a1	solute carrier family 19 (folate transporter), member 1
Trav8n-2	T cell receptor alpha variable 8n-2
Gm23605	predicted gene, 23605
Gm21435	predicted gene, 21435
Prl2c3	prolactin family 2, subfamily c, member 3
Bahd1	bromo adjacent homology domain containing 1
Ighv2-7	immunoglobulin heavy variable 2-7
Cypt3	cysteine-rich perinuclear theca 3
Ccr8	C-C motif chemokine receptor 8
Vmn2r-ps130	NA
Crnn	cornulin
RP23-296I6.12	NA
Slc39a11	solute carrier family 39 (metal ion transporter), member 11
Gm15935	predicted gene 15935
Zic1	zinc finger protein of the cerebellum 1
Prss22	serine protease 22
Ccdc181	coiled-coil domain containing 181
Cd300c	CD300C molecule
Clec2i	C-type lectin domain family 2, member i
4930538E20Rik	RIKEN cDNA 4930538E20 gene
Gm12328	NA
Stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
Irf6	interferon regulatory factor 6
Htra3	HtrA serine peptidase 3
Gm839	predicted gene 839
Zak	NA
Spag11a	sperm associated antigen 11A
GNAS-AS1_5	NA
Gm24191	NA
RP23-302F9.3	NA
Mir343	microRNA 343
Gm13961	RB1-inducible coiled-coil 1 pseudogene
Gm10711	NA
Rngtt	RNA guanylyltransferase and 5'-phosphatase
Gm24684	NA
Tmem79	transmembrane protein 79
Bsph2	binder of sperm protein homolog 2
Gm23570	predicted gene, 23570
Trav9n-1	T cell receptor alpha variable 9N-1
Degs1	delta 4-desaturase, sphingolipid 1
Nsmce1	NSE1 homolog, SMC5-SMC6 complex component
Olfr1145	NA
Gm26623	NA
Olfr404-ps1	NA
Gm26526	NA
Gm24736	NA
4933429H19Rik	RIKEN cDNA 4933429H19 gene
Gfer	growth factor, augmenter of liver regeneration
Gm22800	NA
Gm22158	predicted gene, 22158
Gm26852	NA
Ube2s	ubiquitin-conjugating enzyme E2S
Gm12567	NA
Secisbp2l	SECIS binding protein 2-like
Mboat1	membrane bound O-acyltransferase domain containing 1
Lce3f	late cornified envelope 3F
Rimbp2	RIMS binding protein 2
Smpd5	sphingomyelin phosphodiesterase 5
Gm24392	predicted gene, 24392
Rap1b	RAS related protein 1b
Gm2892	NA
SPRY4-IT1_1	NA
Ifit2	interferon-induced protein with tetratricopeptide repeats 2
Fosl2	fos-like antigen 2
Gm4312	NA
Gm13318	NA
Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4
Olfr1442	NA
Ormdl1	ORM1-like 1 (S. cerevisiae)
Ighv1-80	immunoglobulin heavy variable 1-80
Slc25a35	solute carrier family 25, member 35
Gm12812	NA
Gm14947	family with sequence similarity 133, member B pseudogene
Calb2	calbindin 2
Npcd	neuronal pentraxin chromo domain
Gm25436	predicted gene, 25436
Ldb3	LIM domain binding 3
Rnf114	ring finger protein 114
Tmed3	transmembrane p24 trafficking protein 3
Gm12626	poly(A) binding protein, cytoplasmic 4 pseudogene
Gm15208	NA
Dnajc15	DnaJ heat shock protein family (Hsp40) member C15
Gm24696	predicted gene, 24696
Gm24339	predicted gene, 24339
Gm12178	NA
Tnni1	troponin I, skeletal, slow 1
Ccni	cyclin I
Gm3415	predicted gene 3415
4930556N08Rik	NA
Triap1	TP53 regulated inhibitor of apoptosis 1
Gm12550	NA
2010001K21Rik	RIKEN cDNA 2010001K21 gene
Rian	RNA imprinted and accumulated in nucleus
1700120B22Rik	RIKEN cDNA 1700120B22 gene
Uncx	UNC homeobox
Dexi	dexamethasone-induced transcript
Pop7	processing of precursor 7, ribonuclease P family, (S. cerevisiae)
Mppe1	metallophosphoesterase 1
Ubxn8	UBX domain protein 8
Vkorc1	vitamin K epoxide reductase complex, subunit 1
Clcn2	chloride channel, voltage-sensitive 2
Galk1	galactokinase 1
Olfr1477	NA
Bnip3l	BCL2/adenovirus E1B interacting protein 3-like
Gm22126	predicted gene, 22126
Tacc3	transforming, acidic coiled-coil containing protein 3
Gm13171	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 pseudogene
Gm6428	predicted pseudogene 6428
Pkn2	protein kinase N2
Gm3542	predicted gene 3542
Gpatch11	G patch domain containing 11
Zcchc24	zinc finger, CCHC domain containing 24
Gm17190	predicted gene 17190
Il12rb2	interleukin 12 receptor, beta 2
Mta2	metastasis-associated gene family, member 2
Narg2	NA
Snord22	small nucleolar RNA, C/D box 22
Gsdmc3	gasdermin C3
Gm11657	predicted gene 11657
Ccdc151	NA
Smpx	small muscle protein, X-linked
Mir340	microRNA 340
Lmf1	lipase maturation factor 1
Mtbp	Mdm2, transformed 3T3 cell double minute p53 binding protein
Snora52	small nucleolar RNA, H/ACA box 52
Vhl-ps1	von Hippel-Lindau tumor suppressor-like, pseudogene 1
Pdcl2	phosducin-like 2
Gm23604	predicted gene, 23604
Abca13	ATP-binding cassette, sub-family A member 13
Dab1	disabled 1
4933413C19Rik	RIKEN cDNA 4933413C19 gene
Hmgn5	high-mobility group nucleosome binding domain 5
Gm25190	NA
Lman2	lectin, mannose-binding 2
Gm24846	predicted gene, 24846
Kif16b	kinesin family member 16B
Sval1	seminal vesicle antigen-like 1
mt-Tr	NA
Gm24573	NA
Sptb	spectrin beta, erythrocytic
Gm12518	predicted gene 12518
Gcgr	glucagon receptor
Gm17060	nucleophosmin 1 pseudogene
Gm25145	NA
Mfsd7b	NA
Gm20509	NA
Pabpc1l2a-ps	NA
Gm15372	predicted gene 15372
Magea4	MAGE family member A4
1700110I01Rik	RIKEN cDNA 1700110I01 gene
Gm13618	NA
H2-Ea-ps	NA
Sorbs3	sorbin and SH3 domain containing 3
Chchd4	coiled-coil-helix-coiled-coil-helix domain containing 4
Tmem252	transmembrane protein 252
Rad23b	RAD23 homolog B, nucleotide excision repair protein
Mcfd2	multiple coagulation factor deficiency 2
Zc3h12a	zinc finger CCCH type containing 12A
Gm14672	NA
Mir3472	microRNA 3472
Necap1	NECAP endocytosis associated 1
Gm26398	NA
2310058D17Rik	RIKEN cDNA 2310058D17 gene
Rdh14	retinol dehydrogenase 14 (all-trans and 9-cis)
Gm15540	NA
Gm24306	predicted gene, 24306
Gm26935	NA
Prkg1	protein kinase, cGMP-dependent, type I
Arhgef2	Rho/Rac guanine nucleotide exchange factor 2
Rdh9	retinol dehydrogenase 9
Gm25731	NA
Zc4h2	zinc finger, C4H2 domain containing
Gm21746	NA
B130055M24Rik	RIKEN cDNA B130055M24 gene
Gm20696	NA
Snrpd1	small nuclear ribonucleoprotein D1
Gm6902	predicted gene 6902
Gm15282	NA
1110038F14Rik	RIKEN cDNA 1110038F14 gene
Skida1	SKI/DACH domain containing 1
Klhl15	kelch-like 15
C230052I12Rik	NA
Clcnkb	chloride channel, voltage-sensitive Kb
Gm12009	eukaryotic translation elongation factor pseudogene
Crlf1	cytokine receptor-like factor 1
Gm25102	predicted gene, 25102
Gm12466	ribosomal protein L13 pseudogene
Cxadr	coxsackie virus and adenovirus receptor
H3f3a-ps1	H3.3 histone A, pseudogene 1
Kctd20	potassium channel tetramerisation domain containing 20
Olfr1277	NA
Gm14267	peptidyl-prolyl cis-trans isomerase A pseudogene 2_2197.1
Rffl	ring finger and FYVE like domain containing protein
Gm14422	NA
Gm23833	NA
Gm13937	lactate dehydrogenase A pseudogene
Akr1b7	aldo-keto reductase family 1, member B7
Aco1	aconitase 1
H2-T22	histocompatibility 2, T region locus 22
Ifitm2	interferon induced transmembrane protein 2
Gm9144	NA
4933413G19Rik	NA
Gm14210	predicted gene 14210
Memo1	mediator of cell motility 1
Prkar1b	protein kinase, cAMP dependent regulatory, type I beta
Olfr95	NA
Olfr452	NA
Gm13335	NA
Phax	phosphorylated adaptor for RNA export
Aldh16a1	aldehyde dehydrogenase 16 family, member A1
Bloodlinc	Bloodlinc, erythroid developmental long intergenic non-protein coding transcript
Becn1	beclin 1, autophagy related
Gm12402	NA
Med9	mediator complex subunit 9
Moxd2	monooxygenase, DBH-like 2
Chchd5	coiled-coil-helix-coiled-coil-helix domain containing 5
Ceacam2	CEA cell adhesion molecule 2
RP23-296I6.5	NA
Gm24950	predicted gene, 24950
B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1
Gm14484	NA
Rem2	rad and gem related GTP binding protein 2
Gm24931	NA
Gm17160	predicted gene 17160
Thap8	NA
mmu-mir-6367	NA
9130230L23Rik	RIKEN cDNA 9130230L23 gene
Dedd2	death effector domain-containing DNA binding protein 2
Tmem106a	transmembrane protein 106A
Zfp346	zinc finger protein 346
Mfge8	milk fat globule EGF and factor V/VIII domain containing
Gm25303	NA
Gm13656	NA
Snord98	small nucleolar RNA, C/D box 98
Dtymk	deoxythymidylate kinase
Olfr680-ps1	NA
Hbb-bs	hemoglobin, beta adult s chain
Pdcd7	programmed cell death 7
Lgals2	lectin, galactose-binding, soluble 2
Gm15579	predicted gene 15579
Gm8865	predicted gene 8865
Gdf2	growth differentiation factor 2
Gm10229	NA
Olfr324	NA
Defa-ps4	NA
Trpv3	transient receptor potential cation channel, subfamily V, member 3
Dnase1l1	deoxyribonuclease 1-like 1
Gm23716	predicted gene, 23716
AC121988.1	NA
Gm16549	NA
Ncr1	natural cytotoxicity triggering receptor 1
Gm24068	predicted gene, 24068
Vmn1r-ps74	vomeronasal 1 receptor, pseudogene 74
Gm8693	NA
Gm24297	NA
Cep250	centrosomal protein 250
Gm14375	actin, beta pseudogene
Ptcd2	pentatricopeptide repeat domain 2
Dopey2	NA
AC140325.1	NA
Map3k7cl	Map3k7 C-terminal like
Hyal1	hyaluronoglucosaminidase 1
Gm23776	NA
Dct	dopachrome tautomerase
Zcchc5	NA
Gm5493	predicted gene 5493
Mgarp	mitochondria localized glutamic acid rich protein
Sowaha	sosondowah ankyrin repeat domain family member A
mmu-mir-6965	NA
Gtsf1	gametocyte specific factor 1
Fbp2	fructose bisphosphatase 2
Hcrtr1	hypocretin (orexin) receptor 1
Top3b	topoisomerase (DNA) III beta
Gm13615	oral-facial-digital syndrome 1 gene homolog pseudogene
Gm25634	predicted gene, 25634
Gm15636	bridging integrator 3 pseudogene
1700091E21Rik	NA
n-R5s107	nuclear encoded rRNA 5S 107
Gpr87	G protein-coupled receptor 87
Rnf112	ring finger protein 112
Gm10466	predicted gene 10466
Harbi1	harbinger transposase derived 1
Radil	Ras association and DIL domains
Olfr748	NA
Gm15953	ubiquitin-like, containing PHD and RING finger domains, 1 pseudogene
Gm14080	NA
Gm22730	NA
Gm8062	predicted pseudogene 8062
Rxfp1	relaxin/insulin-like family peptide receptor 1
Gm25108	NA
Slc46a2	solute carrier family 46, member 2
Gm25395	predicted gene, 25395
Gm15195	predicted gene 15195
Akr1c20	aldo-keto reductase family 1, member C20
Klk1b1	kallikrein 1-related peptidase b1
Ecd	ecdysoneless cell cycle regulator
1700061H18Rik	RIKEN cDNA 1700061H18 gene
Mtfp1	mitochondrial fission process 1
Zfp39	zinc finger protein 39
Gm24638	predicted gene, 24638
Smc2	structural maintenance of chromosomes 2
Olfr577	NA
4930568D16Rik	RIKEN cDNA 4930568D16 gene
Gm14345	NA
Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase
Polq	polymerase (DNA directed), theta
Gm6548	eukaryotic translation elongation factor 1 alpha 1 pseudogene
Nanp	N-acetylneuraminic acid phosphatase
Gm11115	NA
Vamp5	vesicle-associated membrane protein 5
BC023105	interferon-inducible GTPase-like pseudogene
Polr2g	polymerase (RNA) II (DNA directed) polypeptide G
Actg2	actin, gamma 2, smooth muscle, enteric
A330035P11Rik	RIKEN cDNA A330035P11 gene
Gm15429	anterior pharynx defective 1a homolog pseudogene
Lancl3	LanC lantibiotic synthetase component C-like 3 (bacterial)
AK129341	NA
Olfr726	NA
4833420G17Rik	RIKEN cDNA 4833420G17 gene
Gm26609	NA
Gm20478	NA
Jakmip3	janus kinase and microtubule interacting protein 3
mmu-mir-7672	NA
Vmn1r-ps100	vomeronasal 1 receptor, pseudogene 100
Gm16984	predicted gene, 16984
4930431F12Rik	RIKEN cDNA 4930431F12 gene
mmu-mir-7066	NA
Zfp280b	zinc finger protein 280B
Gm24668	predicted gene, 24668
Ehbp1l1	EH domain binding protein 1-like 1
Gm14971	crumbs homolog 1 pseudogene
Cic	capicua transcriptional repressor
Gm21248	predicted gene, 21248
Olfr44	NA
Ascc1	activating signal cointegrator 1 complex subunit 1
NAMA_2	NA
AC167036.1	NA
Smtnl2	smoothelin-like 2
P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7
Fn3k	fructosamine 3 kinase
Gm26194	NA
Dapk1	death associated protein kinase 1
Gm12126	predicted gene 12126
Gm12785	NA
Abtb1	ankyrin repeat and BTB domain containing 1
Syn2	synapsin II
Fblim1	filamin binding LIM protein 1
Ctsl	cathepsin L
4930463O16Rik	RIKEN cDNA 4930463O16 gene
Atp5e	NA
Omt2a	oocyte maturation, alpha
Gm23991	predicted gene, 23991
Gm7075	NA
Extl2	exostosin-like glycosyltransferase 2
Gm15687	NA
Rhbdd3	rhomboid domain containing 3
Gm23035	predicted gene, 23035
Gm25846	predicted gene, 25846
Gm21310	predicted gene, 21310
Bpnt1	3'(2'), 5'-bisphosphate nucleotidase 1
Gm3892	NA
Gm13379	high mobility group box 1 pseudogene
Mrps9	mitochondrial ribosomal protein S9
Cmtm3	CKLF-like MARVEL transmembrane domain containing 3
F2	coagulation factor II
2410016O06Rik	NA
Btbd1	BTB domain containing 1
Ndor1	NADPH dependent diflavin oxidoreductase 1
Gm12271	predicted gene 12271
Fbxl6	F-box and leucine-rich repeat protein 6
Gm9440	predicted gene 9440
Gm4219	predicted gene 4219
2700050L05Rik	NA
Gm26202	predicted gene, 26202
Inpp4b	inositol polyphosphate-4-phosphatase, type II
Gm11591	predicted gene 11591
Cxcr6	C-X-C motif chemokine receptor 6
Gm16105	NA
Cbr1	carbonyl reductase 1
Gm26817	NA
Zdhhc5	zinc finger, DHHC domain containing 5
Prok2	prokineticin 2
Gm14820	NA
Gm10650	predicted gene 10650
Gfra4	glial cell line derived neurotrophic factor family receptor alpha 4
G730003C15Rik	RIKEN cDNA G730003C15 gene
Gm6623	akirin 1 pseudogene
Tsr3	TSR3 20S rRNA accumulation
Gm14852	fibronectin type III domain containing 3C2 pseudogene
Six6	sine oculis-related homeobox 6
Gm20613	NA
Gm22560	NA
Gm12245	reduced expression 3 (Rex3) pseudogene
Prim2	DNA primase, p58 subunit
Gm11877	SET pseudogene
Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2
Fbll1	fibrillarin-like 1
Vmn1r-ps56	vomeronasal 1 receptor, pseudogene 56
Map2	microtubule-associated protein 2
Mocos	molybdenum cofactor sulfurase
Afg3l2	AFG3-like AAA ATPase 2
Lpin3	lipin 3
Clec12a	C-type lectin domain family 12, member a
Gm23890	NA
Gm17018	NA
mmu-mir-7048	NA
Syngr4	synaptogyrin 4
Ndufs4	NADH:ubiquinone oxidoreductase core subunit S4
Gm24238	NA
Gm15989	NA
Tfrc	transferrin receptor
Igkv1-122	immunoglobulin kappa chain variable 1-122
Dnase1	deoxyribonuclease I
Csnk2a2	casein kinase 2, alpha prime polypeptide
2310042D19Rik	NA
Itln1	intelectin 1 (galactofuranose binding)
Foxo3	forkhead box O3
Gm23666	predicted gene, 23666
Mettl2	methyltransferase 2, methylcytidine
Capn1	calpain 1
Xpr1	xenotropic and polytropic retrovirus receptor 1
Gm20394	NA
Gm26848	NA
Pomgnt1	protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase
Fut10	fucosyltransferase 10
Zcchc14	zinc finger, CCHC domain containing 14
4933427I04Rik	Riken cDNA 4933427I04 gene
Tspan8	tetraspanin 8
Ddx6	DEAD-box helicase 6
Pigw	phosphatidylinositol glycan anchor biosynthesis, class W
Gm23848	predicted gene, 23848
Gm14148	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm25090	predicted gene, 25090
D030056L22Rik	RIKEN cDNA D030056L22 gene
Gm19791	olfactory receptor 2G6-like
Gm25728	predicted gene, 25728
Fbxl7	F-box and leucine-rich repeat protein 7
Ube3c	ubiquitin protein ligase E3C
Kirrel3	kirre like nephrin family adhesion molecule 3
Gm26433	predicted gene, 26433
Odf2	outer dense fiber of sperm tails 2
Plekha7	pleckstrin homology domain containing, family A member 7
Gm11870	predicted gene 11870
RP23-349I13.6	NA
Zfp943	zinc finger prtoein 943
Gpr126	NA
Gm20455	NA
Prl4a1	prolactin family 4, subfamily a, member 1
Gmeb1	glucocorticoid modulatory element binding protein 1
Gm13005	chromobox homolog 5 pseudogene
Snord15b	small nucleolar RNA, C/D box 15B
Sart3	squamous cell carcinoma antigen recognized by T cells 3
Trbv13-1	T cell receptor beta, variable 13-1
Als2cr12	NA
Pcp2	Purkinje cell protein 2 (L7)
Gm11941	enoyl-CoA hydratase domain-containing protein 2, mitochondrial pseudogene
Gm15557	NA
Myo15b	myosin XVB
Gm21757	predicted gene, 21757
Pnpla1	patatin-like phospholipase domain containing 1
